,title,vote_average
67,Monsters vs Aliens,6.0
68,Iron Man,7.4
69,Hugo,7.0
70,Wild Wild West,5.1
71,The Mummy: Tomb of the Dragon Emperor,5.2
72,Suicide Squad,5.9
73,Evan Almighty,5.3
74,Edge of Tomorrow,7.6
75,Waterworld,5.9
76,G.I. Joe: The Rise of Cobra,5.6
77,Inside Out,8.0
78,The Jungle Book,6.7
79,Iron Man 2,6.6
80,Snow White and the Huntsman,5.8
81,Maleficent,7.0
82,Dawn of the Planet of the Apes,7.3
83,The Lovers,4.8
84,47 Ronin,5.9
85,Captain America: The Winter Soldier,7.6
86,Shrek Forever After,6.0
87,Tomorrowland,6.2
88,Big Hero 6,7.8
89,Wreck-It Ralph,7.1
90,The Polar Express,6.4
91,Independence Day: Resurgence,4.9
92,How to Train Your Dragon,7.5
93,Terminator 3: Rise of the Machines,5.9
94,Guardians of the Galaxy,7.9
95,Interstellar,8.1
96,Inception,8.1
97,Shin Godzilla,6.5
98,The Hobbit: An Unexpected Journey,7.0
99,The Fast and the Furious,6.6
100,The Curious Case of Benjamin Button,7.3
101,X-Men: First Class,7.1
102,The Hunger Games: Mockingjay - Part 2,6.6
103,The Sorcerer's Apprentice,5.8
104,Poseidon,5.5
105,Alice Through the Looking Glass,6.5
106,Shrek the Third,6.0
107,Warcraft,6.3
108,Terminator Genisys,5.8
109,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.2
110,Pearl Harbor,6.6
111,Transformers,6.6
112,Alexander,5.6
113,Harry Potter and the Order of the Phoenix,7.4
114,Harry Potter and the Goblet of Fire,7.5
115,Hancock,6.2
116,I Am Legend,6.9
117,Charlie and the Chocolate Factory,6.7
118,Ratatouille,7.5
119,Batman Begins,7.5
120,Madagascar: Escape 2 Africa,6.2
121,Night at the Museum: Battle of the Smithsonian,5.9
122,X-Men Origins: Wolverine,6.2
123,The Matrix Revolutions,6.4
124,Frozen,7.3
125,The Matrix Reloaded,6.7
126,Thor: The Dark World,6.8
127,Mad Max: Fury Road,7.2
128,Angels & Demons,6.5
129,Thor,6.6
130,Bolt,6.3
131,G-Force,5.1
132,Wrath of the Titans,5.5
133,Dark Shadows,5.7
134,Mission: Impossible - Rogue Nation,7.1
135,The Wolfman,5.5
136,Bee Movie,5.7
137,Kung Fu Panda 2,6.7
138,The Last Airbender,4.7
139,Mission: Impossible III,6.5
140,White House Down,6.4
141,Mars Needs Moms,5.5
142,Flushed Away,6.0
143,Pan,5.9
144,Mr. Peabody & Sherman,6.7
145,Troy,6.9
146,Madagascar 3: Europe's Most Wanted,6.4
147,Die Another Day,5.8
148,Ghostbusters,5.3
149,Armageddon,6.4
150,Men in Black II,6.0
151,Beowulf,5.5
152,Kung Fu Panda 3,6.7
153,Mission: Impossible - Ghost Protocol,6.8
154,Rise of the Guardians,7.1
155,Fun with Dick and Jane,5.9
156,The Last Samurai,7.3
157,Exodus: Gods and Kings,5.6
158,Star Trek,7.4
159,Spider-Man,6.8
160,How to Train Your Dragon 2,7.6
161,Gods of Egypt,5.3
162,Stealth,4.9
163,Watchmen,7.0
164,Lethal Weapon 4,6.3
165,Hulk,5.3
166,G.I. Joe: Retaliation,5.4
167,Sahara,5.7
168,Final Fantasy: The Spirits Within,5.9
169,Captain America: The First Avenger,6.6
170,The World Is Not Enough,6.0
171,Master and Commander: The Far Side of the World,6.9
172,The Twilight Saga: Breaking Dawn - Part 2,6.1
173,Happy Feet Two,5.8
174,The Incredible Hulk,6.1
175,The BFG,6.0
176,The Revenant,7.3
177,Turbo,6.1
178,Rango,6.6
179,Penguins of Madagascar,6.5
180,The Bourne Ultimatum,7.3
181,Kung Fu Panda,6.9
182,Ant-Man,7.0
183,The Hunger Games: Catching Fire,7.4
184,Home,6.8
185,War of the Worlds,6.2
186,Bad Boys II,6.3
187,Puss in Boots,6.4
188,Salt,6.2
189,Noah,5.6
190,The Adventures of Tintin,6.7
191,Harry Potter and the Prisoner of Azkaban,7.7
192,Australia,6.3
193,After Earth,5.0
194,Dinosaur,6.2
195,Night at the Museum: Secret of the Tomb,6.1
196,Megamind,6.7
197,Harry Potter and the Philosopher's Stone,7.5
198,R.I.P.D.,5.4
199,Pirates of the Caribbean: The Curse of the Black Pearl,7.5
200,The Hunger Games: Mockingjay - Part 1,6.6
201,The Da Vinci Code,6.5
202,Rio 2,6.3
203,X2,6.8
204,Fast Five,7.1
205,Sherlock Holmes: A Game of Shadows,7.0
206,Clash of the Titans,5.6
207,Total Recall,7.1
208,The 13th Warrior,6.4
209,The Bourne Legacy,6.0
210,Batman & Robin,4.2
211,How the Grinch Stole Christmas,6.2
212,The Day After Tomorrow,6.2
213,Mission: Impossible II,5.9
214,The Perfect Storm,6.2
215,Fantastic 4: Rise of the Silver Surfer,5.4
216,Life of Pi,7.2
217,Ghost Rider,5.2
218,Jason Bourne,5.9
219,Charlie's Angels: Full Throttle,5.2
220,Prometheus,6.3
221,Stuart Little 2,5.4
222,Elysium,6.4
223,The Chronicles of Riddick,6.3
224,RoboCop,5.7
225,Speed Racer,5.7
226,How Do You Know,4.9
227,Knight and Day,5.9
228,Oblivion,6.4
229,Star Wars: Episode III - Revenge of the Sith,7.1
230,Star Wars: Episode II - Attack of the Clones,6.4
231,"Monsters, Inc.",7.5
232,The Wolverine,6.3
233,Star Wars: Episode I - The Phantom Menace,6.3
234,The Croods,6.8
235,Asterix at the Olympic Games,5.0
236,Windtalkers,5.8
237,The Huntsman: Winter's War,6.0
238,Teenage Mutant Ninja Turtles,5.8
239,Gravity,7.3
240,Dante's Peak,5.7
241,Teenage Mutant Ninja Turtles: Out of the Shadows,5.8
242,Fantastic Four,4.4
243,Night at the Museum,6.3
244,San Andreas,6.0
245,Tomorrow Never Dies,6.0
246,The Patriot,6.8
247,Ocean's Twelve,6.4
248,Mr. & Mrs. Smith,6.5
249,Insurgent,6.2
250,The Aviator,7.0
251,Gulliver's Travels,4.9
252,The Green Hornet,5.5
253,300: Rise of an Empire,6.1
254,The Smurfs,5.5
255,Home on the Range,5.7
256,Allegiant,5.9
257,Real Steel,6.6
258,The Smurfs 2,5.5
259,Speed 2: Cruise Control,4.1
260,Ender's Game,6.6
261,Live Free or Die Hard,6.4
262,The Lord of the Rings: The Fellowship of the Ring,8.0
263,Around the World in 80 Days,5.7
264,Ali,6.7
265,The Cat in the Hat,4.9
266,"I, Robot",6.7
267,Kingdom of Heaven,6.6
268,Stuart Little,5.8
269,The Princess and the Frog,6.7
270,The Martian,7.6
271,The Island,6.5
272,Town & Country,3.7
273,Gone in Sixty Seconds,6.1
274,Gladiator,7.9
275,Minority Report,7.1
276,Harry Potter and the Chamber of Secrets,7.4
277,Casino Royale,7.3
278,Planet of the Apes,5.6
279,Terminator 2: Judgment Day,7.7
280,Public Enemies,6.5
281,American Gangster,7.4
282,True Lies,6.8
283,The Taking of Pelham 1 2 3,6.2
284,Little Fockers,5.4
285,The Other Guys,6.1
286,Eraser,5.6
287,Django Unchained,7.8
288,The Hunchback of Notre Dame,6.8
289,The Emperor's New Groove,7.2
290,The Expendables 2,6.1
291,National Treasure,6.4
292,Eragon,4.9
293,Where the Wild Things Are,6.4
294,Epic,6.4
295,The Tourist,6.0
296,End of Days,5.5
297,Blood Diamond,7.3
298,The Wolf of Wall Street,7.9
299,Batman Forever,5.2
300,Starship Troopers,6.7
301,Cloud Atlas,6.6
302,Legend of the Guardians: The Owls of Ga'Hoole,6.5
303,Catwoman,4.2
304,Hercules,5.6
305,Treasure Planet,7.2
306,Land of the Lost,5.3
307,The Expendables 3,6.1
308,Point Break,5.5
309,Son of the Mask,3.6
310,In the Heart of the Sea,6.5
311,The Adventures of Pluto Nash,4.4
312,Green Zone,6.4
313,The Peanuts Movie,6.5
314,The Spanish Prisoner,7.1
315,The Mummy Returns,6.0
316,Gangs of New York,7.1
317,The Flowers of War,7.1
318,Surf's Up,5.9
319,The Stepford Wives,5.4
320,Black Hawk Down,7.2
321,The Campaign,5.6
322,The Fifth Element,7.3
323,Sex and the City 2,5.4
324,The Road to El Dorado,7.0
325,Ice Age: Continental Drift,6.2
326,Cinderella,6.7
327,The Lovely Bones,6.6
328,Finding Nemo,7.6
329,The Lord of the Rings: The Return of the King,8.1
330,The Lord of the Rings: The Two Towers,8.0
331,Seventh Son,5.2
332,Lara Croft: Tomb Raider,5.7
333,Transcendence,5.9
334,Jurassic Park III,5.7
335,Rise of the Planet of the Apes,7.0
336,The Spiderwick Chronicles,6.3
337,A Good Day to Die Hard,5.2
338,The Alamo,5.8
339,The Incredibles,7.4
340,Cutthroat Island,5.7
341,Percy Jackson & the Olympians: The Lightning Thief,6.0
342,Men in Black,6.9
343,Toy Story 2,7.3
344,Unstoppable,6.3
345,Rush Hour 2,6.4
346,What Lies Beneath,6.3
347,Cloudy with a Chance of Meatballs,6.5
348,Ice Age: Dawn of the Dinosaurs,6.5
349,The Secret Life of Walter Mitty,7.0
350,Charlie's Angels,5.6
351,The Departed,7.9
352,Mulan,7.6
353,Tropic Thunder,6.5
354,The Girl with the Dragon Tattoo,7.2
355,Die Hard: With a Vengeance,6.9
356,Sherlock Holmes,7.0
357,Ben-Hur,5.3
358,Atlantis: The Lost Empire,6.7
359,Alvin and the Chipmunks: The Road Chip,5.8
360,Valkyrie,6.7
361,You Don't Mess with the Zohan,5.5
362,Pixels,5.6
363,A.I. Artificial Intelligence,6.8
364,The Haunted Mansion,5.2
365,Contact,7.2
366,Hollow Man,5.6
367,The Interpreter,6.2
368,Percy Jackson: Sea of Monsters,5.9
369,Lara Croft Tomb Raider: The Cradle of Life,5.5
370,Now You See Me 2,6.7
371,The Saint,5.9
372,Spy Game,6.8
373,Mission to Mars,5.7
374,Rio,6.5
375,Bicentennial Man,6.9
376,Volcano,5.2
377,The Devil's Own,5.9
378,K-19: The Widowmaker,6.1
379,Conan the Barbarian,6.6
380,Cinderella Man,7.3
381,The Nutcracker: The Untold Story,5.4
382,Seabiscuit,6.7
383,Twister,6.1
384,Cast Away,7.5
385,Happy Feet,5.9
386,The Bourne Supremacy,7.2
387,Air Force One,6.2
388,Ocean's Eleven,7.2
389,The Three Musketeers,5.6
390,Hotel Transylvania,6.8
391,Enchanted,6.6
392,Safe House,6.3
393,102 Dalmatians,5.1
394,Tower Heist,5.8
395,The Holiday,6.7
396,Enemy of the State,6.7
397,It's Complicated,6.2
398,Ocean's Thirteen,6.5
399,Open Season,6.1
400,Divergent,6.9
401,Enemy at the Gates,7.2
402,The Rundown,6.4
403,Last Action Hero,6.1
404,Memoirs of a Geisha,7.3
405,The Fast and the Furious: Tokyo Drift,6.1
406,Arthur Christmas,6.7
407,Meet Joe Black,6.9
408,Collateral Damage,5.5
409,All That Jazz,7.3
410,Mirror Mirror,5.5
411,Scott Pilgrim vs. the World,7.2
412,The Core,5.4
413,Nutty Professor II: The Klumps,4.7
414,Scooby-Doo,5.4
415,Dredd,6.6
416,Click,6.0
417,Creepshow,6.7
418,Cats & Dogs 2 : The Revenge of Kitty Galore,4.9
419,Jumper,5.9
420,Hellboy II: The Golden Army,6.5
421,Zodiac,7.3
422,The 6th Day,5.7
423,Bruce Almighty,6.4
424,The Expendables,6.0
425,Mission: Impossible,6.7
426,The Hunger Games,6.9
427,The Hangover Part II,6.2
428,Batman Returns,6.6
429,Over the Hedge,6.3
430,Lilo & Stitch,7.1
431,Charlotte's Web,5.8
432,Deep Impact,5.9
433,RED 2,6.4
434,The Longest Yard,6.2
435,Alvin and the Chipmunks: Chipwrecked,5.4
436,Grown Ups 2,5.8
437,Get Smart,6.0
438,Something's Gotta Give,6.3
439,Shutter Island,7.8
440,Four Christmases,5.3
441,Robots,6.0
442,Face/Off,6.8
443,Bedtime Stories,5.9
444,Road to Perdition,7.3
445,Just Go with It,6.3
446,Con Air,6.5
447,Eagle Eye,6.3
448,Cold Mountain,6.7
449,The Book of Eli,6.6
450,Flubber,5.3
451,The Haunting,5.2
452,Space Jam,6.5
453,The Pink Panther,5.6
454,The Day the Earth Stood Still,5.2
455,Conspiracy Theory,6.5
456,Fury,7.4
457,Six Days Seven Nights,5.6
458,Yogi Bear,5.2
459,Spirit: Stallion of the Cimarron,7.4
460,Zookeeper,5.3
461,Lost in Space,5.0
462,The Manchurian Candidate,6.2
463,Déjà Vu,8.0
464,Hotel Transylvania 2,6.7
465,Fantasia 2000,7.0
466,The Time Machine,5.8
467,Mighty Joe Young,5.9
468,Swordfish,6.1
469,The Legend of Zorro,5.9
470,What Dreams May Come,6.8
471,Little Nicky,5.2
472,The Brothers Grimm,5.6
473,Mars Attacks!,6.1
474,Evolution,6.4
475,The Edge,6.7
476,Surrogates,5.9
477,Thirteen Days,6.9
478,Daylight,5.8
479,Walking With Dinosaurs,5.2
480,Battlefield Earth,3.0
481,Looney Tunes: Back in Action,5.6
482,Nine,5.1
483,Timeline,5.4
484,The Postman,6.1
485,Babe: Pig in the City,5.2
486,The Last Witch Hunter,5.7
487,Red Planet,5.4
488,Arthur and the Invisibles,6.0
489,Oceans,7.3
490,A Sound of Thunder,4.8
491,Pompeii,5.2
492,Top Cat Begins,5.3
493,A Beautiful Mind,7.7
494,The Lion King,8.0
495,Journey 2: The Mysterious Island,5.8
496,Cloudy with a Chance of Meatballs 2,6.4
497,Red Dragon,6.7
498,Hidalgo,6.5
499,Jack and Jill,4.1
500,2 Fast 2 Furious,6.2
501,The Little Prince,7.6
502,The Invasion,5.7
503,The Adventures of Rocky & Bullwinkle,3.9
504,The Secret Life of Pets,5.9
505,The League of Extraordinary Gentlemen,5.7
506,Despicable Me 2,7.0
507,Independence Day,6.7
508,The Lost World: Jurassic Park,6.2
509,Madagascar,6.6
510,Children of Men,7.4
511,X-Men,6.8
512,Wanted,6.4
513,The Rock,6.9
514,Ice Age: The Meltdown,6.5
515,50 First Dates,6.6
516,Hairspray,6.5
517,Exorcist: The Beginning,4.7
518,Inspector Gadget,4.3
519,Now You See Me,7.3
520,Grown Ups,6.0
521,The Terminal,7.0
522,Hotel for Dogs,5.7
523,Vertical Limit,5.9
524,Charlie Wilson's War,6.5
525,Shark Tale,5.8
526,Dreamgirls,6.6
527,Be Cool,5.4
528,Munich,6.9
529,Tears of the Sun,6.4
530,Killers,5.7
531,The Man from U.N.C.L.E.,7.1
532,Spanglish,5.8
533,Monster House,6.3
534,Bandits,6.2
535,First Knight,5.9
536,Anna and the King,6.4
537,Immortals,5.7
538,Hostage,6.2
539,Titan A.E.,6.3
540,Hollywood Homicide,5.0
541,Soldier,6.1
542,Carriers,5.8
543,Monkeybone,4.3
544,Flight of the Phoenix,5.7
545,Unbreakable,6.9
546,Minions,6.4
547,Sucker Punch,5.9
548,Snake Eyes,5.8
549,Sphere,5.8
550,The Angry Birds Movie,5.9
551,Fool's Gold,5.4
552,Funny People,5.7
553,The Kingdom,6.5
554,Talladega Nights: The Ballad of Ricky Bobby,6.2
555,Dr. Dolittle 2,4.9
556,Braveheart,7.7
557,Jarhead,6.6
558,The Simpsons Movie,6.9
559,The Majestic,6.6
560,Driven,4.5
561,Two Brothers,6.9
562,The Village,6.2
563,Doctor Dolittle,5.4
564,Signs,6.4
565,Shrek 2,6.7
566,Cars,6.6
567,Runaway Bride,5.7
568,xXx,5.8
569,The SpongeBob Movie: Sponge Out of Water,5.8
570,Ransom,6.4
571,Inglourious Basterds,7.9
572,Hook,6.6
573,Die Hard 2,6.6
574,S.W.A.T.,5.8
575,Vanilla Sky,6.5
576,Lady in the Water,5.3
577,AVP: Alien vs. Predator,5.5
578,Alvin and the Chipmunks: The Squeakquel,5.4
579,We Were Soldiers,6.7
580,Olympus Has Fallen,6.2
581,Star Trek: Insurrection,6.3
582,Battle: Los Angeles,5.5
583,Big Fish,7.6
584,Wolf,6.0
585,War Horse,7.0
586,The Monuments Men,5.8
587,The Abyss,7.1
588,Wall Street: Money Never Sleeps,5.8
589,Dracula Untold,6.2
590,The Siege,6.0
591,Stardust,7.1
592,Seven Years in Tibet,7.0
593,The Dilemma,5.2
594,Bad Company,5.4
595,Doom,5.0
596,I Spy,5.2
597,Underworld: Awakening,6.1
598,Rock of Ages,6.0
599,Hart's War,5.9
600,Killer Elite,6.1
601,Rollerball,3.4
602,Ballistic: Ecks vs. Sever,4.3
603,Hard Rain,5.5
604,Osmosis Jones,5.9
605,Legends of Oz: Dorothy's Return,5.9
606,Blackhat,5.1
607,Sky Captain and the World of Tomorrow,5.7
608,Basic Instinct 2,4.6
609,Escape Plan,6.7
610,The Legend of Hercules,4.4
611,The Sum of All Fears,5.9
612,The Twilight Saga: Eclipse,5.8
613,The Score,6.7
614,Despicable Me,7.1
615,Money Train,5.4
616,Ted 2,6.2
617,Agora,6.9
618,Mystery Men,5.7
619,Hall Pass,5.4
620,The Insider,7.3
621,The Finest Hours,6.3
622,Body of Lies,6.5
623,Dinner for Schmucks,5.5
624,Abraham Lincoln: Vampire Hunter,5.5
625,Entrapment,6.0
626,The X Files,6.6
627,The Last Legion,5.0
628,Saving Private Ryan,7.9
629,Need for Speed,6.1
630,What Women Want,6.1
631,Ice Age,7.1
632,Dreamcatcher,5.3
633,Lincoln,6.7
634,The Matrix,7.9
635,Apollo 13,7.3
636,The Santa Clause 2,5.5
637,Les Misérables,7.1
638,You've Got Mail,6.3
639,Step Brothers,6.5
640,The Mask of Zorro,6.3
641,Due Date,6.2
642,Unbroken,7.3
643,Space Cowboys,6.3
644,Cliffhanger,6.1
645,Broken Arrow,5.7
646,The Kid,6.0
647,World Trade Center,5.9
648,Mona Lisa Smile,6.5
649,The Dictator,5.9
650,Eyes Wide Shut,7.1
651,Annie,6.0
652,Focus,6.7
653,This Means War,5.9
654,Blade: Trinity,5.7
655,Red Dawn,6.4
656,Primary Colors,6.1
657,Resident Evil: Retribution,5.6
658,Death Race,6.0
659,The Long Kiss Goodnight,6.5
660,Proof of Life,6.0
661,Zathura: A Space Adventure,6.1
662,Fight Club,8.3
663,We Are Marshall,6.7
664,Hudson Hawk,5.4
665,Lucky Numbers,4.9
666,"I, Frankenstein",5.0
667,Oliver Twist,6.7
668,Elektra,4.8
669,Sin City: A Dame to Kill For,6.3
670,Random Hearts,5.3
671,Everest,6.7
672,Perfume: The Story of a Murderer,7.1
673,Austin Powers in Goldmember,5.9
674,Astro Boy,6.1
675,Jurassic Park,7.6
676,Wyatt Earp,6.5
677,Clear and Present Danger,6.4
678,Dragon Blade,5.9
679,Little Man,5.3
680,U-571,6.1
681,The American President,6.5
682,The Love Guru,4.3
683,3000 Miles to Graceland,5.8
684,The Hateful Eight,7.6
685,Blades of Glory,5.9
686,Hop,5.5
687,300,7.0
688,Meet the Fockers,6.1
689,Marley & Me,6.9
690,The Green Mile,8.2
691,Wild Hogs,5.6
692,Chicken Little,5.6
693,Gone Girl,7.9
694,The Bourne Identity,7.3
695,GoldenEye,6.6
696,The General's Daughter,6.1
697,The Truman Show,7.8
698,The Prince of Egypt,6.8
699,Daddy Day Care,5.6
700,2 Guns,6.6
701,Cats & Dogs,5.0
702,The Italian Job,6.6
703,Two Weeks Notice,5.9
704,Antz,6.0
705,Couples Retreat,5.3
706,Days of Thunder,5.9
707,Cheaper by the Dozen 2,5.7
708,Maze Runner: The Scorch Trials,6.4
709,Eat Pray Love,5.8
710,The Family Man,6.5
711,RED,6.6
712,Any Given Sunday,6.8
713,The Horse Whisperer,6.7
714,Collateral,7.0
715,The Scorpion King,5.3
716,Ladder 49,6.2
717,Jack Reacher,6.3
718,Deep Blue Sea,5.6
719,This Is It,6.7
720,Contagion,6.2
721,Kangaroo Jack,4.3
722,Coraline,7.3
723,The Happening,4.9
724,Man on Fire,7.3
725,The Shaggy Dog,4.5
726,Starsky & Hutch,5.6
727,Jingle All the Way,5.5
728,Hellboy,6.5
729,A Civil Action,6.1
730,ParaNorman,6.7
731,The Jackal,6.1
732,Paycheck,5.9
733,Up Close & Personal,5.9
734,The Tale of Despereaux,5.8
735,The Tuxedo,5.3
736,Under Siege 2: Dark Territory,5.6
737,Jack Ryan: Shadow Recruit,5.9
738,Joy,6.4
739,London Has Fallen,5.8
740,Alien: Resurrection,5.9
741,Shooter,6.9
742,The Boxtrolls,6.6
743,Practical Magic,6.3
744,The Lego Movie,7.5
745,Miss Congeniality 2: Armed and Fabulous,5.3
746,Reign of Fire,6.0
747,Gangster Squad,6.2
748,Year One,4.6
749,Invictus,7.0
750,State of Play,6.7
751,Duplicity,5.7
752,My Favorite Martian,5.1
753,The Sentinel,5.8
754,Planet 51,5.6
755,Star Trek: Nemesis,6.1
756,Intolerable Cruelty,5.8
757,Trouble with the Curve,6.6
758,Edge of Darkness,6.2
759,The Relic,5.8
760,Analyze That,5.7
761,Righteous Kill,5.9
762,Mercury Rising,6.0
763,The Soloist,6.6
764,The Legend of Bagger Vance,6.3
765,Almost Famous,7.4
766,Garfield: A Tail of Two Kitties,5.1
767,xXx: State of the Union,4.7
768,Priest,5.4
769,Sinbad: Legend of the Seven Seas,6.6
770,Event Horizon,6.5
771,Dragonfly,6.1
772,The Black Dahlia,5.7
773,Flyboys,6.3
774,The Last Castle,7.0
775,Supernova,4.9
776,Winter's Tale,6.0
777,The Mortal Instruments: City of Bones,6.2
778,Meet Dave,5.0
779,Dark Water,5.3
780,Edtv,5.7
781,Inkheart,6.0
782,The Spirit,4.7
783,Mortdecai,5.4
784,In the Name of the King: A Dungeon Siege Tale,4.1
785,Beyond Borders,6.7
786,The Monkey King 2,6.0
787,The Great Raid,6.8
788,Deadpool,7.4
789,Holy Man,4.9
790,American Sniper,7.4
791,Goosebumps,6.2
792,Just Like Heaven,6.5
793,The Flintstones in Viva Rock Vegas,4.4
794,Rambo III,5.7
795,Leatherheads,5.7
796,The Ridiculous 6,4.9
797,Did You Hear About the Morgans?,5.1
798,The Internship,6.1
799,Resident Evil: Afterlife,5.8
800,Red Tails,5.9
801,The Devil's Advocate,7.2
802,That's My Boy,5.5
803,DragonHeart,6.4
804,After the Sunset,6.0
805,Ghost Rider: Spirit of Vengeance,4.7
806,Captain Corelli's Mandolin,5.5
807,The Pacifier,5.8
808,Walking Tall,6.0
809,Forrest Gump,8.2
810,Alvin and the Chipmunks,5.5
811,Meet the Parents,6.6
812,Pocahontas,6.7
813,Superman,6.9
814,The Nutty Professor,5.4
815,Hitch,6.4
816,George of the Jungle,5.4
817,American Wedding,6.0
818,Captain Phillips,7.6
819,Date Night,5.9
820,Casper,6.0
821,The Equalizer,7.1
822,Maid in Manhattan,5.6
823,Crimson Tide,7.0
824,The Pursuit of Happyness,7.7
825,Flightplan,6.1
826,Disclosure,5.9
827,City of Angels,6.4
828,Kill Bill: Vol. 1,7.7
829,Bowfinger,6.0
830,Kill Bill: Vol. 2,7.6
831,Tango & Cash,6.1
832,Death Becomes Her,6.3
833,Shanghai Noon,6.2
834,Executive Decision,5.8
835,Mr. Popper's Penguins,5.7
836,The Forbidden Kingdom,6.3
837,Free Birds,5.7
838,Alien³,6.2
839,Evita,5.9
840,Ronin,6.7
841,The Ghost and the Darkness,6.4
842,Paddington,7.0
843,The Watch,5.3
844,The Hunted,6.0
845,Instinct,6.2
846,Stuck on You,5.1
847,Semi-Pro,5.4
848,The Pirates! In an Adventure with Scientists!,6.4
849,Changeling,7.3
850,Chain Reaction,5.3
851,The Fan,5.7
852,The Phantom of the Opera,7.0
853,Elizabeth: The Golden Age,6.6
854,Æon Flux,5.4
855,Gods and Generals,6.1
856,Turbulence,5.2
857,Imagine That,5.7
858,Muppets Most Wanted,6.2
859,Thunderbirds,4.2
860,Burlesque,6.9
861,A Very Long Engagement,7.1
862,Lolita,7.3
863,D-Tox,5.3
864,Blade II,6.2
865,Seven Pounds,7.5
866,Bullet to the Head,5.2
867,The Godfather: Part III,7.1
868,Elizabethtown,6.1
869,"You, Me and Dupree",5.4
870,Superman II,6.5
871,Gigli,3.5
872,All the King's Men,5.7
873,Shaft,5.5
874,Anastasia,7.4
875,Moulin Rouge!,7.4
876,Domestic Disturbance,5.4
877,Black Mass,6.3
878,Flags of Our Fathers,6.7
879,Law Abiding Citizen,7.2
880,Grindhouse,6.8
881,Beloved,5.9
882,Lucky You,5.4
883,Catch Me If You Can,7.7
884,Zero Dark Thirty,6.7
885,The Break-Up,5.6
886,Mamma Mia!,6.4
887,Valentine's Day,5.7
888,The Dukes of Hazzard,5.1
889,The Thin Red Line,7.2
890,The Change-Up,5.9
891,Man on the Moon,6.9
892,Casino,7.8
893,From Paris with Love,6.1
894,Bulletproof Monk,5.1
895,"Me, Myself & Irene",6.1
896,Barnyard,5.3
897,Deck the Halls,5.1
898,The Twilight Saga: New Moon,5.6
899,Shrek,7.3
900,The Adjustment Bureau,6.5
901,Robin Hood: Prince of Thieves,6.6
902,Jerry Maguire,6.7
903,Ted,6.3
904,As Good as It Gets,7.2
905,Patch Adams,7.0
906,Anchorman 2: The Legend Continues,6.0
907,Mr. Deeds,5.6
908,Super 8,6.6
909,Erin Brockovich,7.1
910,How to Lose a Guy in 10 Days,6.3
911,22 Jump Street,7.0
912,Interview with the Vampire,7.2
913,Yes Man,6.4
914,Central Intelligence,6.2
915,Stepmom,6.9
916,Daddy's Home,5.8
917,Into the Woods,5.6
918,Inside Man,7.3
919,Payback,6.7
920,Congo,5.0
921,We Bought a Zoo,6.5
922,Knowing,5.9
923,Failure to Launch,5.5
924,The Ring Two,5.4
925,"Crazy, Stupid, Love.",7.0
926,Garfield,5.2
927,Christmas with the Kranks,5.2
928,Moneyball,7.0
929,Outbreak,6.3
930,Non-Stop,6.8
931,Race to Witch Mountain,5.5
932,V for Vendetta,7.7
933,Shanghai Knights,6.0
934,Curious George,6.2
